title,date,text,auhor,category,url
"De cada 4 venezuelanos, 1 precisa de ajuda humanitária urgente",04.04.19 21:00,"Um documento de 45 páginas vazado da ONU calcula que 7 milhões de venezuelanos –ou seja, uma de cada quatro pessoas no país– precisem de ajuda humanitária urgente.",Ernesto,Mundo,https://www.oantagonista.com/mundo/de-cada-4-venezuelanos-1-precisa-de-ajuda-humanitaria-urgente/
"Publicação contra o Hamas é página virada, diz Flávio Bolsonaro",04.04.19 14:39,"De volta de Israel, onde fez parte da comitiva do pai, Flávio Bolsonaro disse que sua publicação no Twitter contra o grupo terrorista Hamas –depois apagada– é “página virada”.",Heloisa,Mundo,https://www.oantagonista.com/mundo/publicacao-contra-o-hamas-e-pagina-virada-diz-flavio-bolsonaro/
Maduro despacha do bunker,04.04.19 18:00,"O ditador Nicolás Maduro não despacha do Palácio Miraflores, sede do Poder Executivo da Venezuela, há pelo menos duas semanas, relata Duda Teixeira em ",Nina,Mundo,https://www.oantagonista.com/mundo/maduro-despacha-bunker/
Ex-estrategista de Trump volta a atacar Mourão,04.04.19 18:40,"Steve Bannon, ex-estrategista de Donald Trump, disse à Folha que é inaceitável um vice-presidente como Hamilton Mourão manter postura antagônica à de Jair Bolsonaro.",Cino,Mundo,https://www.oantagonista.com/mundo/ex-estrategista-de-trump-volta-atacar-mourao/
Ditadura da Venezuela prende 47 por pedirem luz e água,04.04.19 19:00,"Entre 29 de março e 1º de abril, 47 pessoas foram presas pela ditadura de Nicolás Maduro por protestar contra a falta de luz e de água.",GILMAR,Mundo,https://www.oantagonista.com/mundo/ditadura-da-venezuela-prende-47-por-pedirem-luz-e-agua/
Confira a íntegra do telegrama do Itamaraty à ONU em defesa do “movimento de 1964”,04.04.19 19:11," obteve a íntegra do telegrama encaminhado pelo Itamaraty ao argentino Fabian Salvioli, relator independente para a promoção da Verdade, Justiça e Reparação da ONU.",RobertoSilvaRJ,Mundo,https://www.oantagonista.com/mundo/confira-integra-telegrama-itamaraty-onu-em-defesa-movimento-de-1964/
title,date,text,auhor,category,url
Maduro prepara-se para mandar prender Guaidó,05.04.19 16:13,Na ,Marcelo,Mundo,https://www.oantagonista.com/mundo/maduro-prepara-se-para-mandar-prender-guaido/
Senadora nega pressão de Flávio contra CPI da Lava Toga,05.04.19 18:59,"Soraya Thronicke, senadora pelo PSL de Mato Grosso do Sul, negou ter sido pressionada por Flávio Bolsonaro para tirar sua assinatura do requerimento da CPI da Lava Toga.",le,Brasil,https://www.oantagonista.com/brasil/senadora-nega-pressao-de-flavio-contra-cpi-da-lava-toga/
"De Temer para Joesley: “Obrigado aí  por tudo, viu?”",05.04.19 19:05,"Na reportagem “A festa do boi”, da Crusoé, Michel Temer cai num grampo da PF em conversa com Joesley Batista, na noite da reeleição de Dilma Rousseff, em 2014.",Gaudério,Brasil,https://www.oantagonista.com/brasil/de-temer-para-joesley-obrigado-ai-por-tudo-viu/
"Não quero problema com a Palestina, afirma Bolsonaro",05.04.19 19:24,"Jair Bolsonaro disse hoje não querer polêmica com a Palestina e afirmou que visitará “dois ou três” países árabes no início do segundo semestre, registra a Folha.",Márcia,Brasil,https://www.oantagonista.com/brasil/nao-quero-problema-com-a-palestina-afirma-bolsonaro/
Hamas chama Flávio Bolsonaro de ‘filho de extremista’,05.04.19 17:49,"O Hamas, grupo terrorista que controla a faixa de Gaza, respondeu ao tuíte publicado –e depois apagado– por Flávio Bolsonaro, que disse querer que o grupo “se exploda”, registra o Estadão.",Sérgio,Mundo,https://www.oantagonista.com/mundo/hamas-chama-flavio-bolsonaro-de-filho-de-extremista/
Defesa de Aécio nega que campanha tucana tenha recebido repasse de propina de Cabral,05.04.19 19:23,"Como publicamos, Sérgio Cabral disse a Marcelo Bretas que repassou 1,5 milhão de reais de propina à campanha de Aécio Neves, em 2014.",le,Brasil,https://www.oantagonista.com/brasil/defesa-de-aecio-nega-que-campanha-tucana-tenha-recebido-repasse-de-propina-de-cabral/
"Enquanto isso, a selvageria no Rio",04.04.19 10:26,"Roberto Almeida, espancado por outros torcedores no meio da rua em Copacabana ontem, continua internado em estado grave.",Ryu,Sociedade,https://www.oantagonista.com/sociedade/enquanto-isso-selvageria-no-rio/
Moro apresenta a Bolsonaro plano contra crimes violentos,04.04.19 16:02,"Sergio Moro apresentou hoje a Jair Bolsonaro um projeto para reduzir crimes violentos, informa o UOL.",Carlos,Sociedade,https://www.oantagonista.com/sociedade/moro-apresenta-bolsonaro-plano-contra-crimes-violentos/
Bolsonaro oficializa fim do horário de verão,05.04.19 17:44,"O porta-voz da Presidência, Otávio do Rêgo Barros, informou hoje que não haverá horário de verão neste ano, registra o G1.",Apolinário,Sociedade,https://www.oantagonista.com/sociedade/bolsonaro-oficializa-fim-do-horario-de-verao/
Brexit adiado,05.04.19 05:42,A União Européia ofereceu o adiamento do Brexit por um ano.,Serena,Economia,https://www.oantagonista.com/economia/brexit-adiado-2/
O crachá dos milicianos de Maduro,05.04.19 17:19,"Os membros dos “coletivos”, as milícias paramilitares que disparam contra a população nos protestos contra a ditadura de Nicolás Maduro, têm crachá de identificação.",Xavier,Mundo,https://www.oantagonista.com/mundo/o-cracha-dos-milicianos-de-maduro/
A fuga para o Paraguai,05.04.19 10:13,"No evento do Lide de João Doria, em Campos do Jordão, empresários comentam nos bastidores que “está muito melhor para investir no Paraguai”, onde custo e burocracia são menores do que no Brasil.",José,Economia,https://www.oantagonista.com/economia/fuga-para-o-paraguai/
AGU quer desistir de metade dos recursos no STJ contra concessão de aposentadorias,05.04.19 11:28,A Advocacia-Geral da União pretende desistir de até 50% dos recursos apresentados em favor do INSS no Superior Tribunal de Justiça que questionam a concessão de aposentadorias.,XYZ,Economia,https://www.oantagonista.com/economia/agu-quer-desistir-de-metade-dos-recursos-no-stj-contra-concessao-de-aposentadorias/
"Cabral diz ter repassado R$ 1,5 mi em propina para campanha de Aécio",05.04.19 18:45,"No depoimento de hoje a Marcelo Bretas, Sérgio Cabral também disse ter enviado à campanha de Aécio Neves à Presidência, em 2014, R$ 1,5 milhão oriundo do pagamento de propinas no Rio.",Rocha,Brasil,https://www.oantagonista.com/brasil/cabral-diz-ter-repassado-r-15-mi-em-propina-para-campanha-de-aecio/
Vingadores do Cinemark,03.04.19 08:47,"O boicote ao Cinemark, segundo O Globo, não deu muito certo.",PAULOQUARESMA,Cultura,https://www.oantagonista.com/cultura/vingadores-do-cinemark/
"Nana Caymmi chama Gil, Caetano e Chico de ‘chupadores de pau de Lula’",28.03.19 17:41,"Nana Caymmi, que está lançando disco novo, soltou o verbo em entrevista à Folha, na qual diz ter votado em Jair Bolsonaro no segundo turno –na contramão da maioria de seus colegas artistas.",nicola,Cultura,https://www.oantagonista.com/cultura/nana-caymmi-chama-gil-caetano-e-chico-de-chupadores-de-pau-de-lula/
Agamenon: “Queda de Bruços”               ,31.03.19 06:00,"É melhor Jair se acostumando: o governo do presidente “Bozo”naro é uma palhaçada! Para aumentar as trapalhadas do capitão, ainda tem o animado trio de filhos −Moe, Larry e Shemp Bolsonaro, Os Três Patetas mais votados do Brasil.",Tereza,Cultura,https://www.oantagonista.com/cultura/agamenon-queda-de-brucos/
Agamenon: “A Justiça Farda Mas Não Talha!”,18.03.19 09:20,"O STF, Supremo Tribunal de Frango, aprontou mais uma: vai mandar pra Justiça Eleitoral os políticos acusados de pensar fora da caixa, Caixa 2. Realmente, esses nossos juízes não se emendam, mesmo porque a emenda tem que ser constitucional.",Volmer,Cultura,https://www.oantagonista.com/cultura/agamenon-justica-farda-mas-nao-talha/
"De cada 4 venezuelanos, 1 precisa de ajuda humanitária urgente",04.04.19 21:00,"Um documento de 45 páginas vazado da ONU calcula que 7 milhões de venezuelanos –ou seja, uma de cada quatro pessoas no país– precisem de ajuda humanitária urgente.",herika.alboresi@gmai,Mundo,https://www.oantagonista.com/mundo/de-cada-4-venezuelanos-1-precisa-de-ajuda-humanitaria-urgente/
